TradeName,counts,numberOfunits
Sectral,3,169
Selegiline Hcl,8,458
Selegiline Hydrochloride,1,90
Selegiline Transdermal System,3,259
Selenium,5,401
Selsun,3,277
Selzentry,1,105
Semprex D,1,98
Sensipar,8,579
Sensorcaine,4,249
Septocaine,2,59
Septra,5,183
Serax,4,242
Serevent Diskus,5,252
Sermorelin,2,109
Sermorelin Acetate,1,79
Seroquel,2,130
Seroquel XR,5,224
Serostim,3,215
Serostim LQ,2,73
Sertaconazole Nitrate,1,106
Sertraline Hcl,6,418
Serzone,5,270
Sevelamer Carbonate,7,355
Sevelamer Hcl,3,104
Sevoflurane,1,16
Sibutramine Hydrochloride Monohydrate,5,341
Sildenafil Citrate,6,525
Silenor,4,267
Silodosin,5,255
Silvadene,5,407
Silver Sulfadiazine,4,328
Simcor,5,346
Simponi,5,234
Simulect,4,320
Simvastatin,1,74
Sincalide,0,0
Sinemet,6,449
Sinemet CR,4,226
Sinequan,5,253
Singulair,4,425
Sirolimus,1,79
Sitagliptin Metformin HCL,4,135
Sitagliptin Phosphate,1,104
Skelaxin,2,56
Skelid,3,286
Slo-phyllin,3,170
Slow-K,7,561
Sodium Acetate,3,265
Sodium Bicarbonate,4,218
Sodium ferric gluconate,7,435
Sodium Fluoride,3,212
Sodium Hyaluronate,2,187
Sodium Iodide I 131,1,66
Sodium Lactate,3,191
Sodium Oxybate,3,248
Sodium Phenylbutyrate,2,83
Sodium Phosphate Monobasic,3,185
Sodium Polystyrene Sulfonate,3,119
Sodium Sulfacetamide,3,273
Solage,2,71
Solaraze,3,105
Solifenacin Succinate,1,46
Soliris,5,478
Solodyn,3,252
Soltamox,2,61
Solu Cortef,2,64
Solu Medrol,4,230
Soma,4,337
Soma Compound,2,221
Somatrem,2,131
Somatropin,4,313
Somavert,1,74
Sonata,4,258
Sorafenib,6,397
Soriatane,3,181
Sotalol,1,21
Sotalol Hcl,1,53
Sotradecol,4,82
Sparfloxacin,6,405
Spectazole,3,217
Spectinomycin,3,295
Spectracef,3,255
Spiriva,2,193
Spironolactone,5,329
Spironolactone and Hydrochlorothiazide,3,137
Sporanox,1,12
Sporanox Oral Solution,4,225
Sprintec,0,0
Sprix,5,221
Sprycel,3,244
Stadol,3,83
Stalevo,2,200
Starlix,4,317
Staticin,4,150
Stavudine,6,321
Stavzor,1,72
Staxyn,5,295
Stelara,5,258
Stelazine,1,14
Stimate,5,199
Strattera,1,57
Streptase,6,310
Streptokinase,2,44
Streptomycin,4,201
Streptozocin,5,366
Striant,3,196
Stromectol,1,84
Strontium-89,2,211
Suboxone,0,0
Succimer,6,379
Succinylcholine Chloride,5,227
Sucraid,3,116
Sucralfate,0,0
Sudafed,4,261
Sufenta,2,165
Sufentanil Citrate,2,78
Sular,4,207
Sulconazole,6,315
Sulfacetamide,2,208
Sulfadoxine / Pyrimethamine,6,460
Sulfamethoxazole,4,305
Sulfamylon,3,224
Sulfasalazine,3,82
Sulfinpyrazone,6,394
Sulindac,3,126
Sultrin,5,312
Sumatriptan,3,215
Sumavel DosePro,2,162
Sumycin,4,363
Sunitinib Malate,4,221
Supprelin LA,5,294
Suprane,4,207
Suprax,3,202
Surmontil,4,237
Survanta,7,423
Sustiva,4,324
Sutent,2,124
Symbicort,6,267
Symbyax,2,112
Symlin,6,384
Symmetrel,2,159
Synagis,4,183
Synalar,2,112
Synarel,5,303
Synera,6,338
Synercid,3,159
Synthroid,2,129
Synvisc,4,349
Syprine,4,237
Tabloid,0,0
Taclonex,1,59
Taclonex Scalp,3,274
Tacrine,3,227
Tacrolimus,5,297
Tadalafil,3,205
Tagamet,8,369
Talacen,3,188
Talwin,1,34
Talwin Nx,2,132
Tambocor,3,121
Tamiflu,2,107
Tamoxifen Citrate,0,0
Tamsulosin Hydrochloride,2,142
Tao,3,270
Tapazole,4,248
Tapentadol,3,313
Tarceva,2,143
Targretin,2,138
Tarka,5,300
Tasigna,3,133
Tasmar,5,306
Taxol,6,273
Taxotere,4,309
Tazarotene,2,66
Tazorac,2,142
Technetium Tc 99m,3,105
Tegaserod Maleate,4,268
Tegretol,2,111
Tekturna,4,159
Tekturna HCT,4,203
Telavancin,6,271
Telbivudine,4,254
Telithromycin,2,80
Telmisartan,4,279
Telmisartan and Hydrochlorothiazide,1,117
Temazepam,4,260
Temodar,3,188
Temovate,3,118
Temovate Scalp,2,201
Temozolomide,2,123
Temsirolimus,9,538
Tenecteplase,5,334
Teniposide,5,478
Tenofovir Disoproxil Fumarate,2,133
Tenoretic,3,142
Tenormin,9,587
Tenuate,6,319
Terazol 3-Terazol 7,4,194
Terazosin Hcl,3,197
Terbinafine,5,290
Terbinafine Hydrochloride,4,306
Terbutaline Sulfate,2,112
Terconazole,1,59
Teriparatide,2,117
Terra-Cortril,2,116
Terramycin,4,246
Teslac,2,189
Teslascan,1,94
Tessalon,4,228
Testim,1,61
Testoderm,3,224
Testolactone,0,0
Testosterone,3,119
Testred,5,287
Tetanus Vaccine,1,24
Tetrabenazine,5,370
Tetracycline,3,231
Tev-Tropin,5,282
Teveten,3,236
Teveten HCT,1,77
Thalidomide,4,171
Thalitone,1,119
Thalomid,5,406
Theo-24,2,112
Theolair,2,70
Theophylline,3,93
Theophylline Anhydrous,3,154
Theracys,2,110
Thiabendazole,1,104
Thiethylperazine,5,287
Thioguanine,5,305
Thiopental Sodium,6,522
Thioridazine,3,202
Thioridazine HCl,1,11
Thiotepa,3,150
Thiothixene Hcl,7,638
Thorazine,1,43
Thrombin,3,223
Thymalfasin,3,234
Thyrel Trh,3,103
Thyro-Tabs,1,16
Thyrogen,2,147
Thyroid tablets,2,133
Thyrolar,2,143
Thyrotropin Alfa,5,278
Tiagabine Hydrochloride,3,147
Tiazac,0,0
Ticarcillin,5,187
Ticlid,6,385
Ticlopidine Hcl,4,283
Tigan,8,557
Tigecycline,4,230
Tikosyn,3,244
Tilade,3,191
Timentin,2,119
Timolide,1,74
Timolol,4,303
Timolol Maleate,2,175
Timoptic,2,76
Tindamax,3,166
Tinidazole,1,51
Tinzaparin,8,472
Tioconazole,4,220
Tiotropium Bromide,6,359
Tipranavir,6,401
Tirofiban,1,7
Tirosint,2,157
Tizanidine,3,133
Tnkase,1,86
Tobi,3,183
Tobradex,1,77
Tobramycin,4,378
Tobrex,3,146
Tocainide HCl,3,207
Tocilizumab,3,125
Tofranil,3,168
Tofranil-PM,1,22
Tolazamide,2,147
Tolcapone,4,126
Tolectin,3,141
Tolinase,1,13
Tolmetin Sodium,2,200
Tolterodine Tartrate,7,492
Tolvaptan,1,23
Tonocard,1,111
Topamax,4,221
Topicort,6,356
Topiramate,6,304
Topotecan,2,107
Topotecan Hydrochloride,5,337
Toprol XL,3,234
Toradol,5,429
Torecan,2,89
Toremifene,5,396
Torisel,3,222
Torsemide,4,318
Tositumomab I-131,2,114
Totect,4,120
Toviaz,5,316
Tracleer,4,357
Tracrium,2,70
Tramadol,2,149
Tramadol Hcl,4,258
Trandate,4,246
Trandolapril,1,39
Trandolapril and Verapamil,6,377
Tranexamic Acid,5,266
Transderm Nitro,5,368
Transderm Scop,2,52
Tranxene,3,270
Tranylcypromine,2,160
Trastuzumab,1,85
Trasylol,2,13
Travasol,3,193
Travatan,7,355
Travoprost,4,231
Trazodone Hydrochloride,4,272
Treanda,2,99
Trecator,2,182
Trelstar,3,236
Trental,5,290
Treprostinil,4,196
Treprostinil Sodium,3,191
Tretinoin,1,18
Trexall,7,466
Treximet,1,44
Tri-Luma,5,365
Tri-Sprintec,4,357
Triamcinolone,3,216
Triamcinolone Acetonide,5,370
Triamterene,5,178
Triazolam,3,151
Tribenzor,3,229
Tricor,2,175
Tridione,4,127
Trientine,3,143
Triesence,4,251
Trifluoperazine,4,318
Trifluridine,2,172
Triglide,5,384
Trihexyphenidyl,3,225
Trileptal,1,77
Trilipix,1,5
Trilisate,5,324
TriLyte,2,118
Trimethadione,3,168
Trimethobenzamide Hydrochloride,7,578
Trimethoprim,3,155
Trimethoprim and Sulfamethoxazole,3,230
Trimetrexate Glucuronate,3,201
Trimipramine,2,64
TriNessa,3,152
Triptorelin pamoate,5,224
Trisenox,5,249
Tritec,0,0
Trivaris,6,440
Trivora-28,1,18
Trizivir,3,191
Trobicin,10,643
Troleandomycin,2,123
TrophAmine,3,138
Trospium,5,334
Trovafloxacin,6,403
Trovan,2,59
Trusopt,4,168
Truvada,2,140
Trypan Blue,2,39
Tubersol,3,113
Tussionex,3,58
Twinrix,1,89
Twynsta,1,23
Tygacil,3,186
Tykerb,0,0
Tylenol,3,74
Tylenol with codeine,4,320
Tylox,3,170
Typhoid Vaccine,1,40
Tysabri,4,333
Tyvaso,0,0
Tyzeka,5,301
Ulesfia,1,113
Uloric,3,129
Ultane,4,230
Ultiva,2,57
Ultracet,4,282
Ultram,5,318
Ultram ER,2,69
Ultrase,1,37
Ultravate,2,120
Ultravist,2,165
Unasyn,3,201
Uniphyl,3,238
Uniretic,1,41
Unithroid,2,207
Univasc,1,100
Unoprostone isopropyl,4,326
Urex,2,55
Urispas,2,171
Urobiotic,3,214
Urofollitropin,2,201
Urokinase,3,210
Uroxatral,6,252
Urso,2,70
Ursodiol,3,301
Ustekinumab,2,98
Uvadex,4,190
Vaccinia Immune Globulin,2,150
Vagifem,2,85
Vagistat-1,5,222
Valacyclovir Hydrochloride,6,442
Valcyte,4,229
Valdecoxib,6,377
Valganciclovir Hcl,6,484
Valium,5,249
Valproate Sodium,2,193
Valproic Acid,3,302
Valrubicin,5,427
Valsartan,2,100
Valsartan and Hydrochlorothiazide,3,192
Valstar,11,806
Valtrex,3,221
Valtropin,5,291
Valturna,3,256
Vancomycin Hydrochloride,2,130
Vaniqa,3,218
Vanos,5,335
Vantin,8,335
Vaprisol,1,27
Vaqta,6,360
Vardenafil HCl,2,105
Varenicline,3,230
Varicella Virus Vaccine Live,0,0
Varivax,4,360
Vascor,2,116
Vaseretic,3,195
Vasocidin,1,72
Vasopressin,3,188
Vasotec,3,261
Vasovist,5,248
Vectibix,1,41
Vectical,3,127
Velcade,4,334
Velosulin,3,126
Veltin,2,226
Venlafaxine Hydrochloride,6,390
Venofer,2,122
Ventavis,5,252
Ventolin HFA,3,192
VePesid,5,392
Veramyst,4,212
Verapamil,2,129
Verapamil HCl,2,113
Verapamil Hydrochloride,2,136
Verdeso,4,253
Veregen,1,33
Verelan PM,2,179
Vermox,5,429
Verteporfin,5,232
Vesanoid,4,226
VESIcare,5,249
Vexol,6,391
Vfend,1,118
Viadur,3,185
Viagra,3,175
Vibativ,3,189
Vibramycin,3,283
Vibramycin Intravenous,5,404
Vicodin,2,92
Vicodin ES,4,402
Vicodin HP,3,188
Vicoprofen,5,352
Victoza,3,103
Vidarabine,0,0
Vidaza,0,0
Videx,2,78
Videx EC,2,182
Vigabatrin,4,197
Vigamox,2,190
Vimovo,3,279
Vimpat,4,162
Vinblastine Sulfate,5,200
Vincasar PFS,3,102
Vincristine Sulfate,2,111
Vinorelbine Tartrate,5,334
Viokase,1,73
Vioxx,2,108
Vira-A,3,187
Viracept,5,223
Viramune,5,177
Virazole,4,119
Viread,2,128
Viroptic,3,218
Visicol,2,62
VisionBlue,3,103
Visken,0,0
Vistaril,1,38
Vistide,1,100
Visudyne,7,251
Vitamin A,6,362
Vitamin C,4,299
Vitamin K1,4,174
Vitrasert,3,182
Vitravene,0,0
Vivactil,4,251
Vivaglobin,2,196
Vivelle-Dot,4,304
Vivitrol,4,225
Voltaren,3,130
Voltaren Ophthalmic,4,336
Voluven,2,89
Voriconazole,5,114
Vorinostat,5,339
Vosol Hc,5,330
VoSpire ER,3,68
Votrient,1,53
Vumon,0,0
Vusion,1,74
Vytorin,4,235
Vyvanse,4,314
Warfarin Sodium,0,0
Welchol,2,159
Wellbutrin,2,143
Wellbutrin SR,6,371
Wellbutrin XL,11,674
Westcort,2,234
Wigraine,2,184
Winstrol,6,360
Xalatan,4,365
Xanax,5,416
Xanax XR,5,291
Xeloda,3,199
Xenazine,1,33
Xenical,3,290
Xeomin,3,201
Xerese,2,61
Xibrom,5,101
Xifaxan,5,364
Xigris,1,103
Xolair,5,347
Xolegel,3,311
Xopenex,5,365
Xopenex HFA,4,303
Xylocaine,7,677
Xylocaine Viscous,1,22
Xyntha,6,445
Xyrem,7,378
Xyzal,2,182
Yasmin,4,295
Yaz,2,113
Yellow Fever Vaccine,4,331
Yf-Vax,2,135
Yohimbine,2,210
Yohimbine Hydrochloride,5,353
Zadaxin,1,68
Zaditor,1,98
Zafirlukast,5,278
Zagam,5,362
Zalcitabine,3,138
Zaleplon,3,227
Zanaflex,4,383
Zanamivir,5,316
Zanosar,1,14
Zantac,5,216
Zarontin,6,517
Zavesca,3,219
Zebeta,4,338
Zegerid,3,181
Zelapar,3,141
Zelnorm,2,105
Zemaira,3,161
Zemplar,1,27
Zemuron,2,122
Zenapax,5,367
Zenpep,4,345
Zerit,0,0
Zestoretic,4,192
Zestril,1,63
Zetia,5,314
Zevalin,4,246
Ziac,2,233
Ziagen,5,256
Ziana,6,422
Ziconotide,1,43
Zidovudine,3,275
Zinacef,1,22
Zinc,2,173
Zinecard,1,74
Zingo,1,31
Ziprasidone,2,106
Zirgan,5,290
Zithromax,4,180
Zmax,1,73
Zn-DTPA,5,307
Zocor,3,204
Zofran,5,292
Zoledronic Acid,0,0
Zolinza,3,150
Zolmitriptan,4,200
Zoloft,5,309
Zolpidem Tartrate,3,185
Zolpimist,1,28
Zometa,4,235
Zomig,4,261
Zonalon,2,191
Zonegran,3,300
Zonisamide,4,308
Zortress,3,260
Zostavax,1,12
Zoster Vaccine Live,2,137
Zosyn,5,245
Zovia,1,62
Zovirax,1,22
Zyban,2,107
Zyclara,4,234
Zydone,5,351
Zyflo,1,92
Zyflo CR,3,156
Zylet,4,374
Zyloprim,1,119
Zymar,3,210
Zymaxid,6,253
Zyprexa,1,99
Zyprexa Relprevv,1,28
Zyrtec,4,247
Zyrtec-D,4,329
Zyvox,2,87
